('YP_003982012', 138)
('YP_002729393', ('YP_002729392', '0.951968702958846'))
('YP_002728267', ('YP_002728594', '0.999983102886314'))
('YP_003978879', ('YP_003978495', '0.93120325105747'))
('YP_003982689', ('YP_003979688', '0.717279273162902'))
('YP_003982133', ('YP_003981176', '0.931235912227023'))
('YP_003982682', ('YP_003977311', '0.93148583386639'))
('YP_005624723', ('YP_005622749', '0.923970801032843'))
('YP_005624720', ('YP_005622667', '0.90094029418711'))
('YP_003982681', ('YP_003979470', '0.737490093145583'))
('YP_003982138', ('YP_003982139', '0.996721720611559'))
('YP_003982684', ('YP_003982685', '0.944059066772863'))
('YP_003979988', ('YP_003980793', '0.999999999999955'))
('YP_003979983', ('YP_003976730', '0.999999989415376'))
('YP_003979981', ('YP_003979416', '0.931585996431784'))
('YP_005622943', ('YP_005622944', '0.96178060973326'))
('YP_003979986', ('YP_003978495', '0.93120325105747'))
('YP_003979985', ('YP_003979984', '0.994652791082035'))
('YP_003979984', ('YP_003979169', '0.999999593963965'))
('YP_005622438', ('YP_005622439', '0.990971496107678'))
('YP_006797339', ('YP_006797340', '0.994670473379958'))
('YP_003976531', ('YP_003976530', '0.994665696791535'))
('YP_002729025', ('YP_002728322', '0.999999587957745'))
('YP_006797333', ('YP_006798080', '0.941973815019949'))
('YP_006797332', ('YP_006797331', '0.994123482506429'))
('YP_006797331', ('YP_006797340', '0.931501821957243'))
('YP_004955609', ('YP_004955608', '0.999999998325269'))
('YP_005624128', ('YP_005624129', '0.938946697341345'))
('YP_005624658', ('YP_005623434', '0.444323286293879'))
('YP_005624656', ('YP_005624657', '0.998545074802181'))
('YP_005624657', ('YP_005624271', '0.982869966774316'))
('YP_005624655', ('YP_005625302', '0.931399762238387'))
('YP_005624121', ('YP_005623958', '0.994095803013888'))
('YP_005624123', ('YP_005624122', '1'))
('YP_004955193', ('YP_004955195', '1'))
('YP_003977268', ('YP_003978918', '0.999991388388614'))
('YP_004955752', ('YP_004955879', '0.505640144992499'))
('YP_004956404', ('YP_004954876', '0.404862307099634'))
('YP_003977265', ('YP_003981928', '0.931589105208639'))
('YP_003977266', ('YP_003976229', '0.93120325105747'))
('YP_003977267', ('YP_003977266', '0.994649174664078'))
('YP_003976190', ('YP_003976425', '0.559839848607442'))
('YP_003976621', ('YP_003977768', '0.93120325105747'))
('YP_003976192', ('YP_003982689', '0.557004224838474'))
('YP_003981233', ('YP_003981234', '0.999999763129574'))
('YP_003981236', ('YP_003976530', '0.931292223462541'))
('YP_003981234', ('YP_003980888', '0.999999915392825'))
('YP_003981235', ('YP_003981234', '0.994655769785735'))
('YP_004955285', ('YP_004955284', '0.97679844267167'))
('YP_003981239', ('YP_003980805', '0.931203296321783'))
('YP_003976842', ('YP_003976142', '0.931291935824589'))
('YP_004955578', ('YP_004955579', '0.997315448232222'))
('YP_003978611', ('YP_003976513', '0.927906813856723'))
('YP_003976163', ('YP_003980611', '0.882345022130673'))
('YP_003976998', ('YP_003980855', '0.931209713701073'))
('YP_003978617', ('YP_003976892', '0.864200511365495'))
('YP_003978619', ('YP_003980891', '0.931262927750375'))
('YP_003976997', ('YP_003982123', '0.880236429107129'))
('YP_003976996', ('YP_003976997', '0.999999999999846'))
('YP_005622092', ('YP_005622991', '0.527560053106262'))
('YP_003976441', ('YP_003980855', '0.931209618703685'))
('YP_003981837', ('YP_003981961', '0.999996771891687'))
('YP_003981522', ('YP_003981748', '0.930337039212103'))
('YP_003981304', ('YP_003976291', '0.900371404140522'))
('YP_003977487', ('YP_003977198', '0.703192108293318'))
('YP_003982594', ('YP_003982670', '0.920503069075453'))
('YP_004955370', ('YP_004955371', '0.97448622345683'))
('YP_003977946', ('YP_003978169', '0.94308315942046'))
('YP_003978728', ('YP_003978729', '0.995139310683175'))
('YP_003978729', ('YP_003978151', '0.810294350843701'))
('YP_003978724', ('YP_003978603', '0.999999999999649'))
('YP_003978725', ('YP_003979348', '0.999999999999981'))
('YP_003978726', ('YP_003977555', '0.931282093236501'))
('YP_003978727', ('YP_003978726', '0.99465201154361'))
('YP_003978721', ('YP_003982031', '0.931204182716576'))
('YP_004955170', ('YP_004956521', '0.93120325105747'))
('YP_003977005', ('YP_003977004', '0.988035209272651'))
('YP_005622163', ('YP_005623729', '0.999999969979472'))
('YP_003979053', ('YP_003981110', '0.931232878115425'))
('YP_003979052', ('YP_003977602', '0.931493330803049'))
('YP_004954825', ('YP_004955195', '0.437586203275957'))
('YP_003979058', ('YP_003981282', '0.946332201752332'))
('YP_003981019', ('YP_003978024', '0.931511153951744'))
('YP_005394840', ('YP_005394118', '0.92665525559883'))
('YP_003981014', ('YP_003982254', '0.922996388200095'))
('YP_003981015', ('YP_003981014', '1'))
('YP_005622820', ('YP_005622819', '0.947666526884653'))
('YP_003978463', ('YP_003981742', '0.931298014130432'))
('YP_005623414', ('YP_005623596', '0.901773648955486'))
('YP_005623149', ('YP_005623596', '0.881037527074195'))
('YP_005623148', ('YP_005623147', '0.967664739098549'))
('YP_006799695', ('YP_006799698', '0.97027156637851'))
('YP_003977719', ('YP_003982585', '0.931215249627963'))
('YP_002729530', ('YP_002729481', '0.931211043205041'))
('YP_006799698', ('YP_006798594', '0.931204406131417'))
('YP_006799072', ('YP_006800382', '0.92874493110115'))
('YP_002728514', ('YP_002728515', '0.994675923412175'))
('YP_003979181', ('YP_003977497', '0.690400737611128'))
('YP_003979343', ('YP_003981066', '0.925980923031574'))
('YP_005623701', ('YP_005623702', '0.99907837087157'))
('YP_005623703', ('YP_005626187', '0.945084549697461'))
('YP_005623702', ('YP_005626187', '0.948674256874984'))
('YP_002728518', ('YP_002728519', '0.994670559206125'))
('YP_006798673', ('YP_006798670', '0.999999997717416'))
('YP_003978599', ('YP_003980891', '0.931270577959281'))
('YP_006798670', ('YP_006800272', '0.828438680862528'))
('YP_005623968', ('YP_005622749', '0.931494008747065'))
('YP_006798417', ('YP_006798418', '1'))
('YP_006798414', ('YP_006800394', '0.999954665187732'))
('YP_004955779', ('YP_004955233', '0.931214704182469'))
('YP_006798418', ('YP_006797242', '0.961256756862166'))
('YP_006800690', ('YP_006800691', '0.983662164295345'))
('YP_003978045', ('YP_003979524', '0.802363123363082'))
('YP_004955774', ('YP_004955776', '0.999999985630256'))
('YP_003978286', ('YP_003978031', '0.997893575763389'))
('YP_003978285', ('YP_003978286', '0.999927627004824'))
('YP_006797856', ('YP_006799290', '0.854691076894552'))
('YP_003980211', ('YP_003978463', '0.925165632483624'))
('YP_003980217', ('YP_003982585', '0.931214873929622'))
('YP_005624395', ('YP_005622057', '0.998406929180493'))
('YP_003980219', ('YP_003980220', '0.997525751659623'))
('YP_003980218', ('YP_003978192', '0.57728745919784'))
('YP_006800672', ('YP_006799728', '0.66628540823948'))
('YP_006797837', ('YP_006797838', '0.950601865370995'))
('YP_002729259', ('YP_002729260', '0.999928357249655'))
('YP_006797839', ('YP_006798825', '0.99999987707382'))
('YP_002728387', ('YP_002728505', '0.975067648186976'))
('YP_006800588', ('YP_006800587', '1'))
('YP_003979523', ('YP_003979707', '0.931588641271076'))
('YP_003979522', ('YP_003976617', '0.961704989053702'))
('YP_006798097', ('YP_006798096', '0.969453417176249'))
('YP_006798096', ('YP_006797676', '0.929537761627197'))
('YP_003979529', ('YP_003980755', '0.931573877570361'))
('YP_004956178', ('YP_004954548', '0.931589547166035'))
('YP_005624269', ('YP_005624270', '0.997907268744463'))
('YP_005393979', ('YP_005394363', '0.557785364676789'))
('YP_003980503', ('YP_003976707', '0.931203252784934'))
('YP_003979420', ('YP_003976698', '0.931204568329024'))
('YP_003979422', ('YP_003980344', '0.953677295059122'))
('YP_003980694', ('YP_003977757', '0.960917560027561'))
('YP_003980693', ('YP_003977649', '1'))
('YP_003980692', ('YP_003978232', '1'))
('YP_005625025', ('YP_005625026', '0.995751340051797'))
('YP_002728499', ('YP_002728864', '0.942464176844701'))
('YP_002728704', ('YP_002728205', '0.931259239202987'))
('YP_005624002', ('YP_005622057', '0.998406929180493'))
('YP_006800477', ('YP_006800478', '0.997805200470311'))
('YP_003982695', ('YP_003979688', '0.999999995636658'))
('YP_003982694', ('YP_003980336', '0.931203260338028'))
('YP_003982696', ('YP_003976698', '0.931238409217222'))
('YP_003982123', ('YP_003980154', '0.931498594402434'))
('YP_003982693', ('YP_003980940', '0.931010707414461'))
('YP_003982120', ('YP_003982093', '0.998547467635925'))
('YP_005394389', ('YP_005394390', '0.994673027730177'))
('YP_006797464', ('YP_006800382', '0.931215500917151'))
('YP_002728921', ('YP_002729487', '0.93120325105747'))
('YP_003978865', ('YP_003981408', '0.963270504627049'))
('YP_005622959', ('YP_005622057', '0.998406929180493'))
('YP_003976298', ('YP_003981587', '0.931558361445361'))
('YP_002729039', ('YP_002728227', '0.93120325105747'))
('YP_003979735', ('YP_003979734', '0.99464934124287'))
('YP_005394471', ('YP_005394658', '0.408247513101607'))
('YP_002729031', ('YP_002729590', '0.827988010431004'))
('YP_005622427', ('YP_005624016', '0.931130008544432'))
('YP_003982236', ('YP_003981991', '0.931530228628552'))
('YP_003982340', ('YP_003979840', '0.602140628845319'))
('YP_005394499', ('YP_005394703', '0.565932686938605'))
('YP_003978917', ('YP_003978918', '0.999534988727887'))
('YP_003978915', ('YP_003980760', '0.869184813685092'))
('YP_005395388', ('YP_005395387', '0.9312038493401'))
('YP_005395381', ('YP_005395382', '0.994650506864565'))
('YP_004956142', ('YP_004956141', '0.999999999999905'))
('YP_003978919', ('YP_003978918', '0.994651192514655'))
('YP_003978918', ('YP_003977440', '0.997682835382328'))
('YP_003979882', ('YP_003980344', '0.95455122871391'))
('YP_005622393', ('YP_005622394', '0.990036302182686'))
('YP_003979886', ('YP_003980119', '0.888135559808844'))
('YP_003979888', ('YP_003979854', '0.931263694954096'))
('YP_005395014', ('YP_005394685', '0.999999999483651'))
('YP_003976613', ('YP_003982585', '0.931203778822325'))
('YP_003976567', ('YP_003979707', '0.93120332748857'))
('YP_002729721', ('YP_002729722', '1'))
('YP_005622552', ('YP_005622553', '0.994296952016555'))
('YP_005622550', ('YP_005622551', '0.994649449220153'))
('YP_004956094', ('YP_004956093', '1'))
('YP_003976878', ('YP_003980891', '0.931277499276243'))
('YP_005624869', ('YP_005624608', '0.999649514483311'))
('YP_004954810', ('YP_004954809', '0.999999911376598'))
('YP_004955542', ('YP_004956075', '0.955192423404508'))
('YP_005622372', ('YP_005622371', '0.936733920820464'))
('YP_004954563', ('YP_004956579', '0.902494056164143'))
('YP_004954561', ('YP_004954848', '0.800580727481426'))
('YP_004954560', ('YP_004954849', '0.999477760298861'))
('YP_003977471', ('YP_003978918', '0.997717534381135'))
('YP_003978602', ('YP_003978603', '0.994651192514655'))
('YP_003977473', ('YP_003977362', '0.931479821048614'))
('YP_003977472', ('YP_003977473', '0.994654050144318'))
('YP_003976478', ('YP_003981991', '0.931548069319065'))
('YP_003976479', ('YP_003976441', '0.947814767349417'))
('YP_003976477', ('YP_003982689', '0.517736307509155'))
('YP_003976474', ('YP_003980855', '0.930991210141542'))
('YP_003978608', ('YP_003980644', '0.93149917968673'))
('YP_003976472', ('YP_003977812', '0.93120325105747'))
('YP_003976473', ('YP_003980336', '0.931203251090841'))
('YP_003977900', ('YP_003981635', '0.502187259726163'))
('YP_003981533', ('YP_003977335', '0.980109478172594'))
('YP_003979958', ('YP_003976674', '0.984756959962877'))
('YP_003981534', ('YP_003981533', '0.999996623708306'))
('YP_005394658', ('YP_005394117', '0.510929223694561'))
('YP_003976275', ('YP_003980829', '0.931589636381595'))
('YP_003979956', ('YP_003981742', '0.788095950864669'))
('YP_003976270', ('YP_003976085', '0.931203260163883'))
('YP_002728607', ('YP_002728473', '0.920219993428676'))
('YP_005624818', ('YP_005624817', '0.994667005804966'))
('YP_006799117', ('YP_006799118', '0.999999856354039'))
('YP_003981648', ('YP_003981650', '1'))
('YP_003981646', ('YP_003976237', '0.930682273594696'))
('YP_003981645', ('YP_003980941', '0.440192004535692'))
('YP_003977494', ('YP_003977497', '0.690400737611128'))
('YP_003981643', ('YP_003981644', '0.994521598462364'))
('YP_003981642', ('YP_003977441', '0.993719538936162'))
('YP_003977964', ('YP_003977962', '0.999988361472146'))
('YP_003977963', ('YP_003977962', '1'))
('YP_005625339', ('YP_005625340', '0.998936072364401'))
('YP_004954497', ('YP_004956419', '0.484231286078427'))
('YP_003978739', ('YP_003976431', '0.931288297039519'))
('YP_003978738', ('YP_003976529', '0.95319227718226'))
('YP_003981796', ('YP_003976431', '0.938943026277097'))
('YP_003978731', ('YP_003978730', '0.999999999931802'))
('YP_003977013', ('YP_003978568', '0.931586349741884'))
('YP_003977016', ('YP_003980161', '0.931577280803172'))
('YP_003977015', ('YP_003977014', '0.994652966823263'))
('YP_003977014', ('YP_003977555', '0.931278809276219'))
('YP_005622171', ('YP_005622172', '0.994484361171973'))
('YP_003981224', ('YP_003982585', '0.931203269527682'))
('YP_004956099', ('YP_004956110', '0.985454075411063'))
('YP_005622176', ('YP_005625524', '0.931589519421115'))
('YP_003981000', ('YP_003976966', '0.999908170597987'))
('YP_003978452', ('YP_003978603', '0.99999999999978'))
('YP_003978450', ('YP_003978451', '0.994649402122168'))
('YP_003978451', ('YP_003977563', '0.999999567479528'))
('YP_002729650', ('YP_002728367', '0.956947461426277'))
('YP_005623179', ('YP_005623180', '0.996440297429851'))
('YP_003977700', ('YP_003981945', '0.931226713872288'))
('YP_005623289', ('YP_005623143', '0.931207033495009'))
('YP_003978024', ('YP_003976275', '0.931514131458542'))
('YP_005623286', ('YP_005623285', '0.995950550167532'))
('YP_005623287', ('YP_005624269', '0.931203251318629'))
('YP_005623772', ('YP_005623773', '0.93120325105747'))
('YP_005623774', ('YP_005623775', '0.998999681670576'))
('YP_006798641', ('YP_006799290', '0.931203251057471'))
('YP_003980443', ('YP_003980444', '0.994184752158112'))
('YP_005623912', ('YP_005623913', '0.992128445831702'))
('YP_003980195', ('YP_003978013', '0.923421625894473'))
('YP_003980444', ('YP_003979688', '0.999999832128951'))
('YP_005624491', ('YP_005625302', '0.931403654887774'))
('YP_005622297', ('YP_005622856', '0.999999860628266'))
('YP_004955557', ('YP_004955558', '0.999999999998107'))
('YP_005623597', ('YP_005622749', '0.931495757038615'))
('YP_005622749', ('YP_005623596', '0.93120325105747'))
('YP_005623599', ('YP_005623596', '0.999999998462784'))
('YP_005623604', ('YP_005623603', '0.993559571405568'))
('YP_005623359', ('YP_005623360', '0.999966969200771'))
('YP_004955789', ('YP_004955788', '0.99999365408974'))
('YP_005623737', ('YP_005622350', '0.854645289267583'))
('YP_005623827', ('YP_005623826', '0.994649174664081'))
('YP_005622743', ('YP_005622742', '0.994683162043758'))
('YP_006797823', ('YP_006797821', '0.999949782795992'))
('YP_005625382', ('YP_005625383', '0.994008695637444'))
('YP_003977642', ('YP_003977641', '0.994653942321717'))
('YP_003979552', ('YP_003977198', '0.694525799696738'))
('YP_003977640', ('YP_003977641', '0.996695632311053'))
('YP_002728665', ('YP_002728666', '0.971929232616305'))
('YP_003977641', ('YP_003977029', '0.98866126441109'))
('YP_003978148', ('YP_003981085', '0.985463248865616'))
('YP_005625384', ('YP_005622925', '0.999983514032003'))
('YP_005393964', ('YP_005393962', '1'))
('YP_003980538', ('YP_003980891', '0.910721559724612'))
('YP_005393966', ('YP_005393965', '0.999873281542628'))
('YP_003980531', ('YP_003976425', '0.561138884275833'))
('YP_005393969', ('YP_005393970', '0.999999999999935'))
('YP_005393968', ('YP_005393969', '0.999999999514773'))
('YP_003980535', ('YP_003976425', '0.561138884275833'))
('YP_005622984', ('YP_005622985', '0.994622798164216'))
('YP_003979433', ('YP_003978928', '0.9315894262204'))
('YP_006797955', ('YP_006797270', '0.943682595036371'))
('YP_003979430', ('YP_003978883', '0.915529757654166'))
('YP_003976265', ('YP_003976263', '1'))
('YP_003976264', ('YP_003976265', '0.999840446289237'))
('YP_006798697', ('YP_006798671', '0.474843468050445'))
('YP_002728241', ('YP_002728240', '0.994674462422855'))
('YP_003980228', ('YP_003978488', '0.93120325105747'))
('YP_003980990', ('YP_003980989', '0.994663969102016'))
('YP_003980992', ('YP_003980829', '0.931589695000816'))
('YP_003980225', ('YP_003980224', '0.998978410630186'))
('YP_003980994', ('YP_003980993', '1'))
('YP_004955600', ('YP_004956560', '0.928551665862971'))
('YP_005624742', ('YP_005626187', '0.943118536712435'))
('YP_005624743', ('YP_005623701', '0.997645755416993'))
('YP_003982116', ('YP_003981970', '0.527157415526844'))
('YP_005394394', ('YP_005394907', '0.472085201202391'))
('YP_002728937', ('YP_002728994', '0.999999999999996'))
('YP_004956557', ('YP_004955346', '0.933087771278143'))
('YP_003976282', ('YP_003976281', '0.999999999999767'))
('YP_005394218', ('YP_005395487', '0.999999008912712'))
('YP_005625294', ('YP_005625295', '0.994674206769539'))
('YP_003976511', ('YP_003978624', '0.766467135345922'))
('YP_005394460', ('YP_005394461', '0.979535482223115'))
('YP_003976513', ('YP_003982211', '0.931206480801954'))
('YP_005394693', ('YP_005394692', '0.994254128551048'))
('YP_006797319', ('YP_006798460', '0.931203251057471'))
('YP_003982599', ('YP_003977045', '0.931213568473178'))
('YP_002729288', ('YP_002729290', '0.863357129115882'))
('YP_002729289', ('YP_002729290', '0.99466366611675'))
('YP_003982202', ('YP_003981234', '0.93120339283244'))
('YP_005394262', ('YP_005394018', '0.999945547478027'))
('YP_003982200', ('YP_003976730', '0.985515870576417'))
('YP_005624105', ('YP_005623596', '0.93122962863724'))
('YP_003982578', ('YP_003982579', '0.997346832913966'))
('YP_003982579', ('YP_003976599', '0.999999669411555'))
('YP_004955775', ('YP_004955774', '0.999984961380661'))
('YP_003982575', ('YP_003976530', '0.931528641968987'))
('YP_003982577', ('YP_003978928', '0.931588367865348'))
('YP_005394481', ('YP_005393639', '0.989488905688621'))
('YP_004954733', ('YP_004954734', '0.999547523011787'))
('YP_003978920', ('YP_003976431', '0.931588162365013'))
('YP_003979895', ('YP_003979896', '0.994663969102016'))
('YP_003979897', ('YP_003979404', '0.96928349589542'))
('YP_003979896', ('YP_003979404', '0.996577259543762'))
('YP_003979890', ('YP_003979891', '0.997634088904934'))
('YP_003977248', ('YP_003977250', '1'))
('YP_003976608', ('YP_003980941', '0.927137333215729'))
('YP_005624925', ('YP_005625026', '0.931490574405977'))
('YP_003976605', ('YP_003976985', '0.93121135035971'))
('YP_003976600', ('YP_003979169', '0.999989965016066'))
('YP_005622562', ('YP_005625459', '0.999973001299093'))
('YP_006799890', ('YP_006799892', '1'))
('YP_004955559', ('YP_004955558', '1'))
('YP_004954827', ('YP_004954826', '0.992774513212885'))
('YP_003978970', ('YP_003978969', '0.987246705429847'))
('YP_004955550', ('YP_004956110', '0.931452134365785'))
('YP_003981494', ('YP_003980978', '0.542498468801559'))
('YP_004955803', ('YP_004955553', '1'))
('YP_003976868', ('YP_003981323', '0.931397477999547'))
('YP_003981490', ('YP_003981489', '0.99314824584491'))
('YP_006797787', ('YP_006797788', '0.997981268125457'))
('YP_006797782', ('YP_006797781', '0.957672790988778'))
('YP_003978635', ('YP_003979104', '0.979134494420865'))
('YP_003978633', ('YP_003978632', '0.999125182349624'))
('YP_003978630', ('YP_003976707', '0.931203965831321'))
('YP_003978631', ('YP_003978632', '0.998279024408477'))
('YP_005395281', ('YP_005394329', '1'))
('YP_005395287', ('YP_005395288', '0.995478219434037'))
('YP_005622748', ('YP_005622749', '0.987505794382136'))
('YP_006797143', ('YP_006798670', '0.931215036625448'))
('YP_005622746', ('YP_005622057', '0.998406929180493'))
('YP_005622747', ('YP_005623596', '0.931254380315965'))
('YP_003976463', ('YP_003978918', '0.93120325105747'))
('YP_005395289', ('YP_005394744', '0.999963054314423'))
('YP_003976465', ('YP_003976431', '0.931510650626936'))
('YP_003976464', ('YP_003976465', '0.96178060973326'))
('YP_003981812', ('YP_003977311', '0.93149371774413'))
('YP_003981810', ('YP_003981811', '0.994587798074479'))
('YP_003981811', ('YP_003979688', '0.987820114575757'))
('YP_003979947', ('YP_003981253', '0.931588434472694'))
('YP_003979946', ('YP_003979945', '0.999999841251781'))
('YP_003977648', ('YP_003977649', '0.999999999963999'))
('YP_003981819', ('YP_003980218', '0.586950687550997'))
('YP_003976261', ('YP_003976259', '0.999999999992713'))
('YP_003976260', ('YP_003976262', '0.999999999999388'))
('YP_003981679', ('YP_003980806', '0.931203275633788'))
('YP_003982686', ('YP_003978495', '0.93120325178012'))
('YP_004954732', ('YP_004955268', '0.93120325105747'))
('YP_003981677', ('YP_003978567', '0.931383818794343'))
('YP_003981674', ('YP_003979108', '0.683107477450077'))
('YP_004955396', ('YP_004955716', '0.898043513933684'))
('YP_004955155', ('YP_004956317', '0.931214488565592'))
('YP_003977029', ('YP_003978918', '0.999100963767814'))
('YP_003977024', ('YP_003979577', '0.93120463154367'))
('YP_004955152', ('YP_004955164', '0.999999937663051'))
('YP_003977808', ('YP_003978776', '0.931498536333185'))
('YP_003981251', ('YP_003978738', '0.998233992872936'))
('YP_003981252', ('YP_003977555', '0.931280207269457'))
('YP_003981253', ('YP_003976429', '0.943911065366664'))
('YP_005394864', ('YP_005394863', '0.931390261268834'))
('YP_003981070', ('YP_003981071', '0.994649894867289'))
('YP_003981071', ('YP_003978928', '0.931227593976658'))
('YP_003981072', ('YP_003981071', '0.995820079840949'))
('YP_003978449', ('YP_003976531', '0.931587942481031'))
('YP_003981077', ('YP_003977649', '1'))
('YP_003981078', ('YP_003978232', '1'))
('YP_005623164', ('YP_005623163', '0.995311128676583'))
('YP_003978441', ('YP_003976513', '0.926896946846921'))
('YP_003978443', ('YP_003982585', '0.931383701918351'))
('YP_003978442', ('YP_003980855', '0.931320517511053'))
('YP_005623812', ('YP_005624617', '0.835193969797311'))
('YP_006797768', ('YP_006800550', '0.914367443985564'))
('YP_003977836', ('YP_003976513', '0.928868537227857'))
('YP_005622826', ('YP_005624162', '0.93120325105747'))
('YP_005622533', ('YP_005625010', '0.987158223019671'))
('YP_006799305', ('YP_006799304', '0.995914625479342'))
('YP_006799659', ('YP_006799282', '0.901910647496097'))
('YP_003981109', ('YP_003981108', '0.999714242500567'))
('YP_005623290', ('YP_005625123', '0.931203251063896'))
('YP_003976944', ('YP_003976945', '1'))
('YP_003981102', ('YP_003981103', '0.994680581683799'))
('YP_005622536', ('YP_005622749', '0.931203251057524'))
('YP_003977148', ('YP_003977149', '0.994649174719168'))
('YP_003976412', ('YP_003976413', '0.999999999095149'))
('YP_006799781', ('YP_006799174', '0.943357735329978'))
('YP_005624828', ('YP_005624827', '0.963990161192168'))
('YP_005623903', ('YP_005625639', '0.999999999800646'))
('YP_006799371', ('YP_006797400', '0.93120325105747'))
('YP_003976530', ('YP_003980888', '0.931261230575155'))
('YP_003980187', ('YP_003981490', '0.911728980779933'))
('YP_003980185', ('YP_003976513', '0.928699291330137'))
('YP_005623909', ('YP_005622057', '0.998406929180493'))
('YP_006799373', ('YP_006799377', '0.93120325105747'))
('YP_003979094', ('YP_003979529', '0.931572646623476'))
('YP_003979096', ('YP_003979095', '0.99999999959706'))
('YP_003979091', ('YP_003979092', '0.995607304466835'))
('YP_003979090', ('YP_003977340', '0.964462393719462'))
('YP_003979092', ('YP_003976531', '0.931588161924342'))
('YP_006800072', ('YP_006797464', '0.931322878843751'))
('YP_005623348', ('YP_005623347', '0.99965924547344'))
('YP_005394364', ('YP_005394363', '1'))
('YP_004954859', ('YP_004956317', '0.678992680189328'))
('YP_005624469', ('YP_005624470', '0.997534287959875'))
('YP_002728656', ('YP_002728655', '1'))
('YP_002728125', ('YP_002729014', '1'))
('YP_002728123', ('YP_002728904', '0.960018300559956'))
('YP_005624241', ('YP_005624242', '0.994266901873371'))
('YP_002728129', ('YP_002728418', '0.99998688299625'))
('YP_005624243', ('YP_005622374', '0.931203313677467'))
('YP_003980459', ('YP_003977555', '0.931281808742938'))
('YP_003978159', ('YP_003980232', '0.926967015306191'))
('YP_003978445', ('YP_003980891', '0.931265490404405'))
('YP_003979404', ('YP_003978888', '0.997263185616272'))
('YP_003979402', ('YP_003979403', '0.994651192514655'))
('YP_003979403', ('YP_003982664', '0.931400479377565'))
('YP_005624025', ('YP_005622362', '0.774137797884325'))
('YP_005624024', ('YP_005622853', '0.844781777193438'))
('YP_002728231', ('YP_002728515', '0.93120325105747'))
('YP_003980989', ('YP_003979577', '0.931204523053986'))
('YP_005623163', ('YP_005622667', '0.916948780899013'))
('YP_002728238', ('YP_002728021', '0.966835396730289'))
('YP_003980981', ('YP_003982689', '0.562254000964964'))
('YP_003980980', ('YP_003979906', '0.999999910071052'))
('YP_003980234', ('YP_003979346', '0.931206944975788'))
('YP_003982454', ('YP_003980888', '0.999999945674244'))
('YP_003978847', ('YP_003976860', '0.959969719147948'))
('YP_004955054', ('YP_004955233', '0.931204928212955'))
('YP_003982451', ('YP_003976498', '0.931520775355568'))
('YP_005625301', ('YP_005622421', '0.931380909473709'))
('YP_004956383', ('YP_004956110', '0.94553398959305'))
('YP_004956384', ('YP_004956110', '0.948229988662064'))
